Model,Mean Accuracy,Std Accuracy
HistGradientBoosting,0.9968780487804878,0.006304583188840401
Extra Trees,0.9951219512195121,0.007925891126474115
Random Forest,0.9941463414634147,0.009255446810248924
Decision Tree,0.9941463414634145,0.009255446810248924
Gradient Boosting,0.9668292682926828,0.014860045084612507
AdaBoost,0.8718048780487806,0.016870998104364723
Logistic Regression,0.8464390243902439,0.023621847337243408
MLP Neural Net,0.8124878048780488,0.05037548481705403
KNN,0.7346341463414635,0.029847919103957784
SVM,0.7098536585365853,0.025407845167856425
